seconds_elapsed,z,y,x
0.0,6.583356646293401,-7.247417352119088,-0.5520226552831009
0.01,6.731992442063047,-7.116244301849969,-0.45778945397541815
0.02,6.860445456466063,-6.9978363829529995,-0.36701792410304124
0.03,6.96062039229132,-6.901940743047722,-0.28829682973401644
0.04,7.037510267807065,-6.825783180091696,-0.22872158836075038
0.05,7.104451605994566,-6.757458712658233,-0.18364791864897495
0.06,7.174940354884942,-6.683655585375915,-0.1382514650383857
0.07,7.251962500300591,-6.600850989056477,-0.088535975605418
0.08,7.3248771541822615,-6.520251675172665,-0.050350164803002445
0.09,7.3975069658951815,-6.437861474989385,-0.029313276869106047
0.1,7.4661495847470105,-6.3581370254654415,-0.027113466492235425
0.11,7.5201862105167585,-6.294107482454431,-0.03392245933860467
0.12,7.556067081523535,-6.250948512843728,-0.04189312834171296
0.13,7.579862135517847,-6.2220550044704614,-0.04534386540032373
0.14,7.599882302628231,-6.197619686529545,-0.04061638641729101
0.15,7.620780335861205,-6.171970032286326,-0.028704957843201904
0.16,7.6407533445671225,-6.147281546414709,-0.01179507217221504
0.17,7.653155325195531,-6.1318437383914155,0.007215912507042103
0.18,7.657832238187318,-6.125923072884657,0.03193673866970657
0.19,7.656668037284523,-6.1271150975699,0.06499244891162644
0.2,7.6505195436252,-6.134320458082121,0.09986411769522552
0.21,7.63699486955345,-6.150563884570701,0.13102838858555754
0.22,7.616989202051677,-6.174614299055973,0.16082733427686208
0.23,7.5932676776958505,-6.202967048019707,0.18899171219508057
0.24,7.566213058338031,-6.2350358329438,0.21665725814574788
0.25,7.5350730418192,-6.27160482943576,0.24450770527573804
0.26,7.501524985560287,-6.310474274697737,0.27411812841838135
0.27,7.467323541596795,-6.3493491736148275,0.3080776794896658
0.28,7.433597916625018,-6.386754770184576,0.34788357830250755
0.29,7.403786284842088,-6.418724156039897,0.39239697709513344
0.3,7.380872012361769,-6.442015306582078,0.4396166307940666
0.31,7.362119430026283,-6.459987276468908,0.4877296207715568
0.32,7.344191083316641,-6.4768436955069095,0.5324389472994931
0.33,7.325339870076827,-6.495206155861063,0.5673584112676059
0.34,7.306719921540032,-6.514190479996544,0.589438887711507
0.35,7.289219963369952,-6.532807821262745,0.6000081237810938
0.36,7.269070971439432,-6.554801899037674,0.6045370993256503
