time,seconds_elapsed,z,y,x
1724854953146595800,0.053595947265625,-8.725118499863147,-4.01573990868777,1.9790207303479312
1724854953156648000,0.06364794921875,-8.684770707383752,-4.003676838189363,2.1715702779866755
1724854953166699800,0.07369970703125,-8.640897663387655,-3.9840030004262923,2.373391950231045
1724854953176751900,0.083751953125,-8.59564573225379,-3.9604792092368006,2.569019590140879
1724854953186803700,0.0938037109375,-8.549760179391503,-3.935159474541247,2.7543609599664807
1724854953196854800,0.103854736328125,-8.503986854732036,-3.9071141142740844,2.9303675152137876
1724854953206907000,0.113906982421875,-8.460797116824985,-3.8764790297746656,3.091634766490757
1724854953216958700,0.123958740234375,-8.422396951282025,-3.849784499594569,3.226883487153053
1724854953227011000,0.134010986328125,-8.385233049535751,-3.8381697573855518,3.3356723631739613
1724854953237063000,0.14406298828125,-8.333550793093442,-3.8574806070551273,3.4412449074968694
1724854953247115000,0.154114990234375,-8.26951174390316,-3.9146287276878953,3.5300486878484487
1724854953257166800,0.164166748046875,-8.196967901217937,-4.01318437898606,3.588097848974168
1724854953267219000,0.174218994140625,-8.114523426765203,-4.159045679077506,3.6093262227028604
1724854953277270800,0.184270751953125,-8.012505067792535,-4.351221863359212,3.6106805599212644
1724854953287321900,0.19432177734375,-7.879213618677854,-4.584051545068621,3.615916122487187
1724854953297373700,0.204373779296875,-7.711368742576241,-4.851267480504513,3.6291020595356818
1724854953307426000,0.214426025390625,-7.5402370998889205,-5.121593656915426,3.6172485401347276
1724854953317478000,0.224477783203125,-7.396004570043087,-5.35944847331047,3.5701281847804784
1724854953327530000,0.234530029296875,-7.272334351232647,-5.559637868177891,3.5176647148326037
1724854953337581800,0.244581787109375,-7.169044657149911,-5.7273103103220455,3.4602152731657028
1724854953347634000,0.254634033203125,-7.0908835591048,-5.867652262470126,3.3853239905714987
1724854953357685800,0.264685791015625,-7.038844744309783,-5.985396013841033,3.2863483602955936
1724854953367737900,0.27473779296875,-7.007916522082686,-6.080984047505259,3.1750787733748553
1724854953377790000,0.2847900390625,-6.988824283599853,-6.154462540692091,3.0739740221157668
1724854953387841000,0.294841064453125,-6.972167163309455,-6.214095463877916,2.990699234318733
1724854953397892900,0.304892822265625,-6.949033540481328,-6.27216420648694,2.922546027807891
1724854953407945000,0.314945068359375,-6.9141171254009,-6.338450742343068,2.8617157115310428
1724854953417996800,0.324996826171875,-6.865895823067426,-6.4138149031460285,2.809420291626453
1724854953428049000,0.335048828125,-6.805038911044597,-6.487806022030115,2.7875080272868273
1724854953438100700,0.345100830078125,-6.743789200311899,-6.547406796512007,2.7969910181641575
1724854953448152800,0.35515283203125,-6.708458359211683,-6.582778554144501,2.798928708228469
1724854953458205000,0.365204833984375,-6.727046739825606,-6.576863192620873,2.768049293579161
1724854953468257000,0.375257080078125,-6.793685157859325,-6.522399196505546,2.733959100189805
1724854953478308900,0.385308837890625,-6.886383315300941,-6.4257368116080755,2.7309368297591803
1724854953488360000,0.39535986328125,-6.986845677003264,-6.296028481677174,2.7774796774864194
1724854953498411800,0.405411865234375,-7.084256249919533,-6.144552556574344,2.868477753011882
1724854953508463900,0.4154638671875,-7.180021393716335,-5.990258066919446,2.9554145704478025
1724854953518515700,0.425515625,-7.272744685599207,-5.8502709195584055,3.008637626591325
1724854953528567800,0.43556787109375,-7.3581450872480865,-5.732903600284457,3.0268627268508075
1724854953538619600,0.44561962890625,-7.438917244574427,-5.637822931620478,3.007963088330626
1724854953548672000,0.455672119140625,-7.516379254439473,-5.559269619387388,2.961241084644198
1724854953558723800,0.465723876953125,-7.586298593840002,-5.490680067285895,2.910479742439091
1724854953568776000,0.47577587890625,-7.643271942427754,-5.430823856738209,2.873487690128386
1724854953578827000,0.485826904296875,-7.6839967515259975,-5.381862549692392,2.856945136128366
1724854953588878800,0.49587890625,-7.709269724470377,-5.344703908643126,2.8586162842109797
1724854953598931000,0.505930908203125,-7.7277540601879355,-5.313750551974773,2.8664012389987708
1724854953608982800,0.515982666015625,-7.747631311568617,-5.280024223461747,2.8750545010536905
1724854953619035000,0.526034912109375,-7.77095782662034,-5.2379725496739145,2.8889871648162604
1724854953629087000,0.5360869140625,-7.792989041164517,-5.191610611471534,2.9132258262768387
1724854953639138800,0.546138916015625,-7.8125477281153195,-5.147911170476675,2.9382816493391988
