seconds_elapsed,z,y,x
0.0,-5.527348878991604,-8.100407223129272,0.0468524388327961
0.01,-5.778009597738166,-7.920462441946934,0.226225615678403
0.02,-6.048575587270938,-7.706533247653628,0.4408403284229801
0.03,-6.226570793484245,-7.548259591715849,0.6511267065074618
0.04,-6.289993075335907,-7.495755876895086,0.648067597109712
0.05,-6.292884245182083,-7.502136534701994,0.5364831601706426
0.06,-6.25229022448775,-7.518311057089652,0.7440823679799552
0.07,-6.120480669732685,-7.580133746921897,1.118475166906116
0.08,-5.9201718727237855,-7.683005275577607,1.446719280071615
0.09,-5.746406080524517,-7.775585576178283,1.6399437719972478
0.1,-5.680157209211927,-7.809109053522021,1.70995619945621
0.11,-5.759674715469261,-7.747677842852382,1.723270733498022
0.12,-5.940492883621013,-7.612679277049721,1.7110665978127895
0.13,-6.093752867527132,-7.496301264747958,1.6858034947453833
0.14,-6.176421252546156,-7.431708797200804,1.6708925049727648
0.15,-6.217210409660089,-7.4001557040424535,1.6596233075766813
0.16,-6.221667277262204,-7.385888469336637,1.7057869620719224
0.17,-6.171454084470517,-7.396952716554536,1.8353041140386077
0.18,-6.056924201171979,-7.465617037750503,1.9360672619146775
0.19,-5.938077320847667,-7.56041068284756,1.9364020488571736
0.2,-5.868223966088209,-7.629777889155001,1.8763752709427322
0.21,-5.840795910542738,-7.660573626322233,1.8360518174421954
0.22,-5.831700684899663,-7.675567411137225,1.802021023802235
0.23,-5.821509063050917,-7.694010486851272,1.75571669913308
0.24,-5.855251537722341,-7.683526496390454,1.6878137139807134
0.25,-6.0518618048712876,-7.561562172832758,1.5382352050254409
0.26,-6.309790567542043,-7.380510767770616,1.3726660252492007
0.27,-6.472344841807788,-7.248294099627568,1.3195728311256365
0.28,-6.460879742228703,-7.243598907215485,1.3990725591339455
0.29,-6.365428583670964,-7.321089201005562,1.4323763372520308
0.3,-6.2598562802601325,-7.45627281266387,1.176950719135867
0.31,-6.099655529939655,-7.63407029151732,0.8268764561805332
0.32,-5.942289086057745,-7.777551847432507,0.6074495533308276
0.33,-5.864568610237103,-7.840688965136975,0.5482733573212655
0.34,-5.878043194154523,-7.822664720828072,0.6511251810569226
0.35,-5.955682952336989,-7.7462161570579715,0.8337399334770105
0.36,-6.107825324168554,-7.612408549734638,0.956384377146585
0.37,-6.290813067474411,-7.4750652714940635,0.8466113332559383
0.38,-6.413575623741032,-7.399198966749364,0.5348536093068639
0.39,-6.461685630300281,-7.3730090197682285,0.23451118500857018
0.4,-6.449210447542332,-7.38741586392221,0.06283783818185464
0.41,-6.38062918141525,-7.4467662648390505,0.05369926698425148
0.42,-6.270823974198519,-7.5381036475795495,0.15236179109145537
0.43,-6.13600898519091,-7.646336623069655,0.22962770844733887
0.44,-6.020507999621838,-7.73786908607414,0.22149854812948502
0.45,-5.981801786756583,-7.769422360609972,0.15500987517424505
0.46,-6.058800779168812,-7.710765183375119,0.06198911811841415
0.47,-6.225933681899466,-7.576592891019654,-0.039488829301172666
0.48,-6.398942146985358,-7.4298363875653655,-0.14309726264855527
0.49,-6.5143300016709285,-7.326562622646544,-0.2345658960604217
0.5,-6.53974311717769,-7.299844253632078,-0.33719209037303416
0.51,-6.478443628685235,-7.346995106375675,-0.4701890524145972
0.52,-6.390150349044556,-7.416838812353149,-0.5715642130641714
0.53,-6.335953192466036,-7.460894430857255,-0.600895370135591
0.54,-6.3139530867440605,-7.482363392536237,-0.5643487222652409
0.55,-6.298094422149653,-7.499743577403708,-0.5081034361201257
0.56,-6.296776453045608,-7.503636041001637,-0.46520091386727275
0.57,-6.313616733256699,-7.488330649141888,-0.4827692247268918
0.58,-6.348473769590187,-7.451189685941749,-0.5882966574446116
0.59,-6.401726670468885,-7.392859961037255,-0.7303401109770531
0.6,-6.427857104699905,-7.3585201576026815,-0.8397059627871399
0.61,-6.428077781722922,-7.352162261031864,-0.8921273895159241
0.62,-6.433858942461078,-7.350092613526691,-0.8670075234933494
0.63,-6.433165372647435,-7.360354506095883,-0.7806375958696691
0.64,-6.401755644320974,-7.398278471808918,-0.6732017339345063
0.65,-6.373099146840546,-7.427495950424545,-0.6214211325052214
0.66,-6.351800782858996,-7.441073504187131,-0.6745611102315852
0.67,-6.334473128463388,-7.4463095693855434,-0.7726969756389529
0.68,-6.322457419238159,-7.448225644249271,-0.8489805918877306
0.69,-6.3030962209309855,-7.460964016525324,-0.8804869913064147
0.7,-6.290072631298619,-7.478006419318433,-0.8269790371115004
0.71,-6.3083129370819675,-7.477347754952242,-0.6808268965458372
0.72,-6.348772256916748,-7.456467964662867,-0.5138504896080447
0.73,-6.385091583376638,-7.431421577894698,-0.41827208297364604
0.74,-6.399486503127293,-7.4185083269026375,-0.4270900339353566
0.75,-6.380356523979483,-7.430297398794178,-0.50189763282973
0.76,-6.340533207705744,-7.46140204132235,-0.5431591780956129
0.77,-6.323572006838206,-7.482633896904155,-0.4360110570220479
0.78,-6.340355594905148,-7.478840844448156,-0.18835209184942744
0.79,-6.350620533894238,-7.472601042012473,-0.0016949423854957038
0.8,-6.3583700987481695,-7.465735374296308,0.06540399460247934
0.81,-6.34791045055054,-7.47436512460172,0.08945714568327412
0.82,-6.317490442567172,-7.49887357120206,0.15938356920320215
0.83,-6.28568763457105,-7.520876106540523,0.3098004886485497
0.84,-6.288860316623679,-7.511555516948004,0.443857327066727
0.85,-6.316084893265128,-7.486421289400011,0.4805302106383922
0.86,-6.321383099832624,-7.483893153465798,0.4488213575885599
0.87,-6.293366269990948,-7.5113351385563485,0.37893886886733275
0.88,-6.306229865794572,-7.496218785965726,0.4496366938339744
0.89,-6.393931235332512,-7.395679781374647,0.7670421470438185
0.9,-6.502111744865935,-7.276898825839096,0.9682432271961162
0.91,-6.586331408629611,-7.179824596344991,1.1135590830826223
0.92,-6.548492050081613,-7.197313463935669,1.2185803453234596
0.93,-6.431627011103555,-7.30226996913207,1.216522795404839
0.94,-6.345356724566754,-7.392755797037514,1.119724805105804
0.95,-6.305374266701676,-7.428929028606779,1.1058566794914138
0.96,-6.302616082613384,-7.413107974616857,1.221207155632962
0.97,-6.387775471665189,-7.317460296174439,1.3489474231220373
0.98,-6.508492986174987,-7.202261046415782,1.3917616751737192
0.99,-6.556821232110409,-7.153213530232206,1.4175924567287232
1.0,-6.54821157828714,-7.143375186408114,1.5042912418008145
1.01,-6.482976380665486,-7.187200257642484,1.5759266683078132
1.02,-6.345829944413372,-7.2985678115172785,1.6217368447705023
1.03,-6.2348242014393715,-7.373570327006262,1.7109249907162158
1.04,-6.231269621630097,-7.355322088785425,1.8001658173805968
1.05,-6.278448238880407,-7.310323149988383,1.819457067447253
1.06,-6.316898810716268,-7.28674202930633,1.7805647181266389
1.07,-6.350895704100448,-7.262226100365523,1.7597070135289703
1.08,-6.360289153694894,-7.252833319401998,1.764509980314949
1.09,-6.37536005660921,-7.24017772821429,1.7620734373563998
1.1,-6.382302211090181,-7.242065775808623,1.7287143936754283
1.11,-6.305394238105017,-7.307152740038834,1.7367998188949414
1.12,-6.2113364587789235,-7.364351638726219,1.8316907472251556
1.13,-6.178290263151869,-7.3642240498587554,1.9409008148316704
1.14,-6.17957923062311,-7.348866666695157,1.9942853476217315
1.15,-6.214820792373074,-7.3158739380846844,2.005955980895418
1.16,-6.267477886428037,-7.289000941603081,1.9387199265073423
1.17,-6.3013668667496345,-7.287561234045882,1.8315128833402803
1.18,-6.296134831789404,-7.303461418370654,1.7855274200904996
1.19,-6.235021203811597,-7.355003812918923,1.7883014670476323
1.2,-6.1537826302445735,-7.418430631808183,1.8077207617771396
1.21,-6.099516550396794,-7.4612648670932336,1.8153792497605432
1.22,-6.082931629633348,-7.485577714062955,1.770356722056619
1.23,-6.097777832229474,-7.4879021109613,1.708375929971043
1.24,-6.11152571348095,-7.490262231872111,1.6477445802456618
1.25,-6.103595092042529,-7.514448159427052,1.5649512307229378
1.26,-6.092443079806036,-7.538793990743352,1.4896383140667326
1.27,-6.08921579262847,-7.547138269745146,1.460321946756088
1.28,-6.0910940953525925,-7.544592520079503,1.46563102205502
1.29,-6.095865448869784,-7.543781243369002,1.4495568834001447
1.3,-6.118986563961921,-7.5469505592012505,1.329730060566633
1.31,-6.159270647247906,-7.549234115533133,1.1136832711031257
1.32,-6.2004551715388985,-7.53884420234619,0.943364310916048
1.33,-6.218002488713309,-7.534178825997682,0.8617988377823805
1.34,-6.170232284713268,-7.575355299568122,0.8434414823376132
1.35,-6.074402799844356,-7.652605194711195,0.8419983347950256
1.36,-6.005553067208697,-7.709120542735441,0.8199802884936253
1.37,-5.979015372379125,-7.739302999815233,0.7234032399536486
1.38,-5.995309908550884,-7.738545491106545,0.5832761623228794
1.39,-6.068073693765255,-7.687997015207561,0.4925625332077221
1.4,-6.1487769373994245,-7.625100406378442,0.4695686898916353
1.41,-6.190729620062986,-7.592289559239739,0.4494942842460152
1.42,-6.214332741168263,-7.5763387617640445,0.38847024731144486
1.43,-6.234470850650209,-7.563630290616953,0.304231468687056
