time,seconds_elapsed,z,y,x
1789222836177936600,0.0449365234375,-0.6826019287109375,-0.97900390625,-0.0621490478515625
1789222836187930600,0.0549306640625,-1.3431854248046875,-1.1016998291015625,0.0147247314453125
1789222836197923600,0.064923583984375,-0.271575927734375,-0.348602294921875,0.068328857421875
1789222836207917600,0.07491748046875,-0.1260986328125,-0.9618377685546875,-0.107177734375
1789222836217911600,0.08491162109375,-0.7378082275390625,-1.2890167236328125,0.0826873779296875
1789222836227904500,0.094904541015625,-0.893096923828125,-0.3496551513671875,0.410247802734375
1789222836237898500,0.1048984375,-0.6352081298828125,-0.5649261474609375,0.2752838134765625
1789222836247891700,0.1148916015625,-0.476715087890625,-1.12158203125,0.0988922119140625
1789222836257885700,0.1248857421875,-0.5873260498046875,-0.509490966796875,0.0235748291015625
1789222836267879400,0.13487939453125,-0.9881439208984375,-0.60601806640625,-0.17144775390625
1789222836277872600,0.14487255859375,-1.0756072998046875,-0.9737548828125,-0.34344482421875
1789222836287866600,0.15486669921875,-0.7483673095703125,-0.7871551513671875,-0.155853271484375
1789222836297859600,0.164859619140625,-0.3252716064453125,-0.7967987060546875,0.0236663818359375
1789222836307853800,0.174853759765625,-0.064727783203125,-0.484832763671875,0.1687774658203125
1789222836317847600,0.18484765625,-0.40032958984375,-0.807342529296875,0.298675537109375
1789222836327840500,0.194840576171875,-0.900421142578125,-1.0958404541015625,0.132659912109375
1789222836337834500,0.20483447265625,-0.66961669921875,-0.5792694091796875,-0.053131103515625
1789222836347827700,0.21482763671875,-0.561614990234375,-1.127655029296875,-0.0680389404296875
1789222836357821700,0.22482177734375,-0.6496734619140625,-1.03558349609375,-0.0435028076171875
1789222836367815400,0.2348154296875,-0.599395751953125,-0.4863739013671875,0.001373291015625
1789222836377808600,0.24480859375,-0.56646728515625,-1.1486663818359375,0.0321807861328125
1789222836387802600,0.254802734375,-0.5062103271484375,-0.7447662353515625,0.09320068359375
1789222836397795600,0.264795654296875,-0.455718994140625,-0.4583587646484375,0.08514404296875
1789222836407789800,0.274789794921875,-0.9045867919921875,-1.161651611328125,-0.05023193359375
1789222836417783600,0.284783447265625,-0.7409515380859375,-0.8512725830078125,-0.0730438232421875
1789222836427776500,0.294776611328125,-0.3606414794921875,-0.594879150390625,0.0290679931640625
1789222836437770500,0.3047705078125,-0.3890533447265625,-0.9261474609375,-0.05926513671875
1789222836447764700,0.3147646484375,-0.5921630859375,-0.858001708984375,-0.220062255859375
1789222836457757700,0.3247578125,-1.0530242919921875,-0.6536865234375,-0.061859130859375
1789222836467751400,0.33475146484375,-1.1826934814453125,-0.570037841796875,0.1655731201171875
1789222836477744600,0.34474462890625,-0.3502960205078125,-0.8385162353515625,0.1065521240234375
1789222836487738600,0.354738525390625,0.4039306640625,-0.5371246337890625,0.0272979736328125
1789222836497732600,0.364732666015625,-0.4963226318359375,-0.309539794921875,0.3034210205078125
1789222836507725600,0.3747255859375,-1.5686492919921875,-1.27166748046875,0.4178314208984375
1789222836517719600,0.384719482421875,-0.8229217529296875,-0.9953460693359375,0.048004150390625
1789222836527712500,0.39471240234375,0.0474700927734375,-0.1147308349609375,-0.2042236328125
1789222836537706500,0.40470654296875,-0.7662200927734375,-0.9359283447265625,-0.1144256591796875
1789222836547700700,0.41470068359375,-1.610504150390625,-1.41619873046875,0.08245849609375
