seconds_elapsed,z,y,x
0.0,-6.438861081597208,-7.394637957864999,0.1754454872984439
0.01,-6.415687163028037,-7.412570469934484,0.25126800632360285
0.02,-6.402356373869431,-7.41728625297916,0.4050493029087483
0.03,-6.403235016975028,-7.4094636175014665,0.518470127789076
0.04,-6.426795770640977,-7.391624046417237,0.48014131166845886
0.05,-6.435550162955415,-7.390454629257833,0.36776659790856386
0.06,-6.406367731349517,-7.418800976645551,0.30036402929737377
0.07,-6.3563360502324935,-7.462392803140912,0.2829631489628224
0.08,-6.323297933922707,-7.488640177502417,0.3262960849881564
0.09,-6.33280475014163,-7.47374225086063,0.4571579017582711
0.1,-6.378930328630429,-7.42395181807689,0.603786526774052
0.11,-6.404716661433166,-7.40459776685138,0.567262738302158
0.12,-6.437483760609693,-7.385088758692289,0.4354297291199069
0.13,-6.467267731109018,-7.362918394779415,0.3636639894172472
0.14,-6.438217445788652,-7.388200118876438,0.3663020487139256
0.15,-6.397361628324911,-7.4196109479956736,0.43956134589386475
0.16,-6.388059607926911,-7.413904948901645,0.6298361288030465
0.17,-6.3847979510222075,-7.396696556557068,0.8328125946550309
0.18,-6.3853457141756484,-7.3887717116298965,0.8965070286838241
0.19,-6.400496713511312,-7.384944084119884,0.8163075784123093
0.2,-6.427377072843521,-7.376725971714323,0.6655616357715721
0.21,-6.484162480965956,-7.334477368595144,0.575653009049638
0.22,-6.546693564787075,-7.276322994097152,0.6051045259097858
0.23,-6.536116737220812,-7.27530701064277,0.7205516777614835
0.24,-6.502729742185443,-7.290753091602746,0.8542364482855235
0.25,-6.50428010218081,-7.28014650083853,0.9296198809833737
0.26,-6.491675267363334,-7.29221904204514,0.923023389997589
0.27,-6.462566482024318,-7.326796379764612,0.8505794413388551
0.28,-6.420386234411267,-7.373637480496471,0.7603853242672685
0.29,-6.332660200588449,-7.455691038695312,0.6928468572078142
0.3,-6.211127880285756,-7.556638777987719,0.6994046128767791
0.31,-6.192471974620768,-7.558474106295978,0.8315517568677029
0.32,-6.361558175374905,-7.39403295452022,1.013991495884132
0.33,-6.519118958458892,-7.272041970898831,0.8878608251273205
0.34,-6.584860944312546,-7.229518037894292,0.7375748821461781
0.35,-6.579511431912187,-7.238723926773502,0.6936403030165732
0.36,-6.51225875428056,-7.298030184669494,0.7063658868059784
0.37,-6.382079154818373,-7.414448335949119,0.6820871322356343
0.38,-6.318974421230647,-7.466766673275511,0.698778049998058
0.39,-6.357578113941471,-7.43475406202614,0.6899018961310461
0.4,-6.365701912136132,-7.432154525530254,0.6412385450424023
0.41,-6.336724065480555,-7.460980356741998,0.5916353221287316
0.42,-6.368717062470003,-7.432975501893227,0.6004502989802115
0.43,-6.41694875812007,-7.395268601401567,0.5503110324371462
0.44,-6.385971622953713,-7.429012674285263,0.44626034855490043
