time,seconds_elapsed,z,y,x
1789318177660893700,0.042893798828125,-0.2010047435760498,1.9578481912612915,-0.4900285601615906
1789318177670847700,0.05284765625,-0.10361720621585846,1.14975905418396,-1.299477219581604
1789318177680801500,0.062801513671875,-0.469892680644989,0.05544062331318855,-1.2968955039978027
1789318177690755600,0.072755615234375,-0.7536354064941406,-0.7563135027885437,-0.6328024864196777
1789318177700710700,0.082710693359375,-0.44750159978866577,-1.2991949319839478,-0.32775282859802246
1789318177710664700,0.092664794921875,-0.020365459844470024,0.5401143431663513,0.0899067223072052
1789318177720618800,0.10261865234375,0.06729861348867416,0.9101132154464722,0.662970244884491
1789318177730572800,0.11257275390625,-0.515997052192688,0.659447431564331,0.9665793776512146
1789318177740527600,0.122527587890625,-1.194137454032898,0.6449611783027649,0.8102550506591797
1789318177750481700,0.132481689453125,-1.1782820224761963,-0.12454193085432053,0.005854959599673748
1789318177760435700,0.142435791015625,-0.8380895853042603,-0.6385117769241333,-0.2710016667842865
1789318177770389800,0.1523896484375,-0.5164939761161804,-0.07036737352609634,-0.04609878733754158
1789318177780344800,0.1623447265625,-0.24823297560214996,0.37023186683654785,0.40789586305618286
1789318177790298600,0.172298583984375,-0.09172086417675018,0.3220294415950775,0.3320178985595703
1789318177800252700,0.182252685546875,-0.17541682720184326,0.9961764216423035,-0.6565997004508972
1789318177810206700,0.192206787109375,-0.5306771993637085,-0.22298434376716614,-0.5940321683883667
1789318177820161800,0.202161865234375,-0.9669035077095032,-0.6882497668266296,-0.37061214447021484
1789318177830115800,0.21211572265625,-1.0520727634429932,0.7378655076026917,-0.42203113436698914
1789318177840070000,0.22206982421875,-0.5965235829353333,0.7369371652603149,-0.06933513283729553
1789318177850023700,0.232023681640625,-0.3399096429347992,0.07454853504896164,0.07776243984699249
1789318177859978800,0.241978759765625,-0.4634592831134796,-0.11222560703754425,0.7274035811424255
1789318177869932500,0.2519326171875,-0.42894843220710754,-0.7149785757064819,1.0388461351394653
1789318177879886600,0.261886474609375,-0.2942526638507843,-0.6929534673690796,0.6588982939720154
1789318177889840600,0.271840576171875,-0.21298789978027344,0.0590747706592083,0.20665784180164337
1789318177899795700,0.281795654296875,-0.2689688801765442,0.3167329430580139,0.03749251365661621
1789318177909749800,0.291749755859375,-0.5226184725761414,0.3704044222831726,-0.1478120982646942
1789318177919703800,0.301703857421875,-0.7046276926994324,0.7004324197769165,-1.2334883213043213
1789318177929657600,0.31165771484375,-0.7447508573532104,0.748371422290802,-1.3211404085159302
1789318177939612700,0.32161279296875,-0.7151719331741333,0.1890207827091217,-0.8542906641960144
1789318177949566700,0.331566650390625,-0.6182853579521179,-0.19379423558712006,-0.23415204882621765
1789318177959520800,0.341520751953125,-0.33247968554496765,-0.7357674837112427,0.7862916588783264
1789318177969474800,0.351474853515625,-0.12723252177238464,-0.6500976085662842,1.6097735166549683
1789318177979429600,0.3614296875,-0.0770987793803215,-0.02732802741229534,1.3534014225006104
1789318177989383700,0.3713837890625,-0.18819360435009003,0.2994093596935272,0.3585618734359741
