seconds_elapsed,z,y,x
0.0,-6.187488611981272,-7.598222840389609,0.3903650529816746
0.01,-6.185023096423009,-7.601130382538683,0.37242336530093334
0.02,-6.181019178424381,-7.604352512412529,0.37311397126570617
0.03,-6.1688046877664835,-7.613498623062,0.38841013721861084
0.04,-6.131813589678235,-7.6431673810787775,0.39145428722959674
0.05,-6.112358472684903,-7.657621680799492,0.412646621062651
0.06,-6.131344853428575,-7.640026105482692,0.45496397517266424
0.07,-6.1506101351839195,-7.623175564908739,0.47704232052054196
0.08,-6.169913641395875,-7.607811789709998,0.47301287330568126
0.09,-6.199445091553896,-7.58390779897076,0.4707468404768685
0.1,-6.212870075869393,-7.5725347653207935,0.4767945959381369
0.11,-6.198968346410688,-7.581509232079696,0.5136782161592363
0.12,-6.168003339700423,-7.603715315818677,0.5564291116803605
0.13,-6.133920999131908,-7.631188027189945,0.5571041286391918
0.14,-6.1309878843612395,-7.6345421371349955,0.5432572464350445
0.15,-6.140678113522773,-7.626133961317273,0.5518399292745356
0.16,-6.134625396780286,-7.6280836484666885,0.5908173581306717
0.17,-6.145351468773317,-7.615804299116577,0.6360476478857943
0.18,-6.161256888026284,-7.6016501289559955,0.6513217049078174
0.19,-6.164010226088345,-7.599835315088496,0.6464241392096339
0.2,-6.162655663859775,-7.60135984131507,0.6413941549216337
0.21,-6.170482891951527,-7.595587075263201,0.6344900603756393
0.22,-6.173427985774693,-7.592763540793356,0.6396113072654561
0.23,-6.170564343497607,-7.592921506117279,0.6648836799494221
0.24,-6.173535675535693,-7.590641825711786,0.6633244453925646
0.25,-6.175370294869168,-7.59103812487362,0.641343645478549
0.26,-6.168424878310875,-7.594739712529917,0.6639638280851596
0.27,-6.153091034631828,-7.604870312538511,0.6897831647973491
0.28,-6.1505766607591825,-7.608899442957119,0.6673993154449391
0.29,-6.164453503645666,-7.6003159984118565,0.6364753921838303
0.3,-6.15848015679378,-7.6053682182725675,0.6339383021914793
0.31,-6.142435761632432,-7.618050154764623,0.6372812832346244
0.32,-6.120156481269821,-7.63889265793692,0.6011365562769005
0.33,-6.100668531048144,-7.655443074176087,0.5885163654345619
0.34,-6.119114395987589,-7.636583262856365,0.6398188672723062
0.35,-6.1542075907069025,-7.6065479573389,0.6606931712982532
0.36,-6.1654401941936765,-7.599598304013397,0.6354134684405905
0.37,-6.130970921068206,-7.631158846728512,0.5889487791536799
0.38,-6.07937412055132,-7.675385768183814,0.5477679859133527
0.39,-6.071417559754997,-7.682344331932535,0.5382763684815319
0.4,-6.12333712186213,-7.639314076650054,0.562044972772705
0.41,-6.177142599093562,-7.594841425165453,0.5758797995367066
0.42,-6.2015553892258595,-7.573127965189188,0.5990077750225224
