time,seconds_elapsed,z,y,x
1789222150095785000,0.054784912109375,-6.415232368728518,-7.388375390338897,0.6535194380670786
1789222150105779000,0.064779052734375,-6.448010602736472,-7.362135033667087,0.6265145998287945
1789222150115774000,0.07477392578125,-6.483050936457515,-7.331291567113995,0.6265782396495342
1789222150125768000,0.084767822265625,-6.515667842423915,-7.296472182667255,0.6913480142671614
1789222150135762000,0.094761962890625,-6.518659425455332,-7.289619832554459,0.7340979725174606
1789222150145756000,0.104755859375,-6.4998629550486795,-7.307385790869593,0.7240741527616977
1789222150155750100,0.114750244140625,-6.49768093483448,-7.308596920225024,0.7313974813871085
1789222150165744000,0.124744140625,-6.495468519482016,-7.308631991538405,0.7504449308801442
1789222150175738000,0.134738037109375,-6.48387978849709,-7.318585230275988,0.753650668118894
1789222150185731800,0.14473193359375,-6.4847244226276874,-7.3146537360459565,0.7839546209678053
1789222150195725800,0.154725830078125,-6.4844532044708725,-7.309803957927227,0.8300764668039977
1789222150205720000,0.164719970703125,-6.474057482662797,-7.318794489112496,0.8319971326682716
1789222150215714000,0.174714111328125,-6.465261012744903,-7.32978993037939,0.8030988088335841
1789222150225708000,0.1847080078125,-6.471293863168358,-7.326167648229003,0.7874051998130976
1789222150235702000,0.194701904296875,-6.491409599480033,-7.309218266993761,0.7793005115516484
1789222150245697000,0.204697021484375,-6.51541708253324,-7.287558808371425,0.7818006578043103
1789222150255691000,0.21469091796875,-6.543425033399462,-7.2571420427978035,0.8293770132977515
1789222150265685000,0.22468505859375,-6.550673104831576,-7.243284782359003,0.8910038867797702
1789222150275679200,0.23467919921875,-6.525789423465729,-7.261844521400332,0.9219922416962683
1789222150285673000,0.2446728515625,-6.507275861653685,-7.27712217003107,0.9323252735316753
1789222150295667000,0.2546669921875,-6.488011773735284,-7.296580903738737,0.914332593788579
1789222150305661000,0.264660888671875,-6.475682453516125,-7.309393039038777,0.8992735563445836
1789222150315655000,0.274655029296875,-6.481726994377374,-7.301859720924496,0.9167566060651093
1789222150325649000,0.28464892578125,-6.497298072996736,-7.285782446348667,0.9342776497084647
1789222150335643100,0.29464306640625,-6.532429592132568,-7.256150693672895,0.9197929050210862
1789222150345637000,0.30463720703125,-6.579838409039378,-7.2190411524623626,0.8726669967088848
1789222150355631000,0.314631103515625,-6.59536974017024,-7.208424481379986,0.8426724751353263
1789222150365624800,0.324624755859375,-6.573872778633237,-7.223854105702042,0.8777950803123414
